Z,N,symbol,energy ,, jp,
13,14,Al,8043,,2.5,5
13,14,Al,8065,,1.5,3
13,14,Al,8097,,2.5,5
13,14,Al,8130,,0.5,1
13,14,Al,8136,,2.5,5
13,14,Al,8182.1,,1.5,3
13,14,Al,8287,,2.5,5
13,14,Al,8324,,1.5,3
13,14,Al,8376,,1.5,3
13,14,Al,8396,,5.5,11
13,14,Al,8420.7,,1.5,3
13,14,Al,8442,,3.5,7
13,14,Al,8490.3,,2.5,5
13,14,Al,8521,,0.5,1
13,14,Al,8537,,2.5,5
13,14,Al,8553,,1.5,3
13,14,Al,8586,,3.5,7
13,14,Al,8597.6,,0.5,1
13,14,Al,8675,,3.5,7
13,14,Al,8693,,4.5,9
13,14,Al,8716.6,,0.5,1
13,14,Al,8732.2,,2.5,5
13,14,Al,8753.6,,2.5,5
13,14,Al,8774.2,,2.5,5
13,14,Al,8897.2,,2.5,5
13,14,Al,8909.2,,0.5,1
13,14,Al,8952,,2.5,5
13,14,Al,8963.4,,1.5,3
13,14,Al,9050.9,,3.5,7
13,14,Al,9051.6,,2.5,5
13,14,Al,9080.4,,0.5,1
13,14,Al,9190.2,,1.5,3
13,14,Al,9216.3,,1.5,3
13,14,Al,9236,,0.5,1
13,14,Al,9239.5,,2.5,5
13,14,Al,9271.6,,0.5,1
13,14,Al,9274.3,,2.5,5
13,14,Al,9276.9,,1.5,3
13,14,Al,9308.2,,2.5,5
13,14,Al,9390,,1.5,3
13,14,Al,9400.8,,0.5,1
13,14,Al,9474.4,,3.5,7
13,14,Al,9511.5,,2.5,5
13,14,Al,9600.7,,1.5,3
13,14,Al,9628.5,,0.5,1
13,14,Al,9634.5,,2.5,5
13,14,Al,9664.7,,2.5,5
13,14,Al,9664.8,,0.5,1
13,14,Al,9715.9,,1.5,3
13,14,Al,9762.8,,2.5,5
13,14,Al,9796.3,,3.5,7
13,14,Al,9821.6,,1.5,3
13,14,Al,9834.4,,0.5,1
13,14,Al,9839.7,,2.5,5
13,14,Al,9846.6,,0.5,1
13,14,Al,9921.9,,1.5,3
13,14,Al,9930.4,,0.5,1
13,14,Al,9941.3,,3.5,7
13,14,Al,9955.5,,1.5,3
13,14,Al,9960.3,,2.5,5
13,14,Al,9962.8,,2.5,5
13,14,Al,9976.8,,2.5,5
13,14,Al,9990.8,,3.5,7
13,14,Al,9999.9,,2.5,5
13,14,Al,10024.3,,2.5,5
13,14,Al,10089.6,,1.5,3
13,14,Al,10092.9,,1.5,3
13,14,Al,10112,,2.5,5
13,14,Al,10112.5,,0.5,1
13,14,Al,10121.2,,3.5,7
13,14,Al,10135.1,,1.5,3
13,14,Al,10164.8,,2.5,5
13,14,Al,10218,,1.5,3
13,14,Al,10243.9,,1.5,3
13,14,Al,10244,,0.5,1
13,14,Al,10244.8,,3.5,7
13,14,Al,10258.5,,2.5,5
13,14,Al,10287,,1.5,3
13,14,Al,10307,,3.5,7
13,14,Al,10318,,0.5,1
13,14,Al,10333,,1.5,3
13,14,Al,10334,,0.5,1
13,14,Al,10338,,0.5,1
13,14,Al,10348,,1.5,3
13,14,Al,10365,,4.5,9
13,14,Al,10370,,2.5,5
13,14,Al,10372,,1.5,3
13,14,Al,10409,,2.5,5
13,14,Al,10459,,0.5,1
13,14,Al,10480,,3.5,7
13,14,Al,10509,,3.5,7
13,14,Al,10528,,1.5,3
13,14,Al,10555,,2.5,5
13,14,Al,10558,,0.5,1
13,14,Al,10566,,1.5,3
13,14,Al,10588,,1.5,3
13,14,Al,10593,,2.5,5
13,14,Al,10599,,1.5,3
13,14,Al,10612,,0.5,1
13,14,Al,10626,,3.5,7
13,14,Al,10634,,0.5,1
13,14,Al,10648,,1.5,3
13,14,Al,10675,,2.5,5
13,14,Al,10692,,2.5,5
13,14,Al,10716,,1.5,3
13,14,Al,10737,,1.5,3
13,14,Al,10751,,4.5,9
13,14,Al,10804,,0.5,1
13,14,Al,10833,,1.5,3
13,14,Al,10835,,1.5,3
13,14,Al,10836,,2.5,5
13,14,Al,10838,,1.5,3
13,14,Al,10864,,2.5,5
13,14,Al,10911,,0.5,1
13,14,Al,10922,,1.5,3
13,14,Al,10931,,2.5,5
13,14,Al,10973,,2.5,5
13,14,Al,11003,,2.5,5
13,14,Al,11072,,1.5,3
13,14,Al,11096,,2.5,5
13,14,Al,11101,,1.5,3
13,14,Al,11126,,1.5,3
14,14,Si,0,,0,
14,14,Si,1779.03,,2,
14,14,Si,4617.86,,4,
14,14,Si,4979.92,,0,
14,14,Si,6276.2,,3,
14,14,Si,6690.74,,0,
14,14,Si,6878.79,,3,
14,14,Si,6887.65,,4,
14,14,Si,7380.59,,2,
